entry_time,side,entry_fill_price,sl_price,tp_price,net_pnl_dollars,cumulative_net_pnl_dollars
2022-08-16 01:09:00,short,13663.75,13693.75,13603.75,0.0,-48807.0
2022-08-16 01:58:00,short,13654.5,13684.5,13594.5,0.0,-48807.0
2022-08-16 02:41:00,short,13633.75,13663.75,13573.75,-0.0,-48807.0
2022-08-16 03:56:00,short,13671.25,13701.25,13611.25,0.0,-48807.0
2022-08-16 04:53:00,short,13650.25,13680.25,13590.25,-0.0,-48807.0
2022-08-16 05:38:00,short,13648.0,13678.0,13588.0,-0.0,-48807.0
2022-08-16 06:02:00,short,13646.5,13676.5,13586.5,-0.0,-48807.0
2022-08-16 06:44:00,short,13668.0,13698.0,13608.0,-0.0,-48807.0
2022-08-16 07:27:00,short,13668.75,13698.75,13608.75,0.0,-48807.0
2022-08-16 08:14:00,short,13645.75,13675.75,13585.75,-0.0,-48807.0
2022-08-16 08:24:00,short,13644.25,13674.25,13584.25,0.0,-48807.0
2022-08-16 09:47:00,long,13566.0,13536.0,13626.0,-0.0,-48807.0
2022-08-16 10:08:00,long,13569.5,13539.5,13629.5,0.0,-48807.0
2022-08-16 11:26:00,short,13665.25,13695.25,13605.25,0.0,-48807.0
2022-08-16 13:28:00,short,13717.0,13747.0,13657.0,0.0,-48807.0
2022-08-16 14:20:00,long,13623.75,13593.75,13683.75,0.0,-48807.0
2022-08-16 15:01:00,short,13647.0,13677.0,13587.0,-0.0,-48807.0
2022-08-16 17:05:00,short,13646.25,13676.25,13586.25,-0.0,-48807.0
2022-08-16 17:32:00,short,13649.0,13679.0,13589.0,-0.0,-48807.0
2022-08-16 17:48:00,short,13646.5,13676.5,13586.5,-0.0,-48807.0
2022-08-16 18:19:00,short,13645.25,13675.25,13585.25,-0.0,-48807.0
2022-08-16 19:29:00,short,13656.5,13686.5,13596.5,0.0,-48807.0
2022-08-16 20:01:00,short,13650.5,13680.5,13590.5,-0.0,-48807.0
2022-08-16 20:20:00,short,13648.75,13678.75,13588.75,-0.0,-48807.0
2022-08-16 20:37:00,short,13646.5,13676.5,13586.5,-0.0,-48807.0
2022-08-16 21:09:00,short,13643.5,13673.5,13583.5,-0.0,-48807.0
2022-08-16 21:41:00,short,13643.75,13673.75,13583.75,-0.0,-48807.0
2022-08-16 22:05:00,short,13642.25,13672.25,13582.25,-0.0,-48807.0
2022-08-16 22:20:00,short,13643.5,13673.5,13583.5,-0.0,-48807.0
2022-08-16 22:25:00,short,13643.25,13673.25,13583.25,-0.0,-48807.0
2022-08-16 22:34:00,short,13643.25,13673.25,13583.25,-0.0,-48807.0
2022-08-16 22:46:00,short,13643.0,13673.0,13583.0,-0.0,-48807.0
2022-08-16 22:58:00,short,13644.25,13674.25,13584.25,-0.0,-48807.0
2022-08-17 00:29:00,short,13660.5,13690.5,13600.5,-0.0,-48807.0
2022-08-17 00:39:00,short,13660.25,13690.25,13600.25,-0.0,-48807.0
2022-08-17 01:08:00,short,13655.75,13685.75,13595.75,0.0,-48807.0
2022-08-17 02:35:00,short,13620.0,13650.0,13560.0,0.0,-48807.0
2022-08-17 03:23:00,short,13598.25,13628.25,13538.25,-0.0,-48807.0
2022-08-17 03:29:00,short,13593.5,13623.5,13533.5,0.0,-48807.0
2022-08-17 04:18:00,short,13586.75,13616.75,13526.75,-0.0,-48807.0
2022-08-17 04:36:00,short,13585.5,13615.5,13525.5,0.0,-48807.0
2022-08-17 05:41:00,short,13550.75,13580.75,13490.75,-0.0,-48807.0
2022-08-17 06:08:00,short,13541.0,13571.0,13481.0,0.0,-48807.0
2022-08-17 07:24:00,short,13531.5,13561.5,13471.5,-0.0,-48807.0
2022-08-17 07:55:00,short,13521.5,13551.5,13461.5,-0.0,-48807.0
2022-08-17 08:13:00,short,13518.75,13548.75,13458.75,-0.0,-48807.0
2022-08-17 08:27:00,short,13517.0,13547.0,13457.0,-0.0,-48807.0
2022-08-17 08:41:00,short,13501.75,13531.75,13441.75,-0.0,-48807.0
2022-08-17 08:57:00,long,13535.75,13505.75,13595.75,-0.0,-48807.0
2022-08-17 10:19:00,long,13452.25,13422.25,13512.25,-0.0,-48807.0
2022-08-17 11:04:00,long,13437.0,13407.0,13497.0,0.0,-48807.0
2022-08-17 12:07:00,long,13483.5,13453.5,13543.5,-0.0,-48807.0
2022-08-17 12:12:00,long,13481.25,13451.25,13541.25,-0.0,-48807.0
2022-08-17 12:27:00,long,13482.75,13452.75,13542.75,0.0,-48807.0
2022-08-17 13:03:00,long,13525.25,13495.25,13585.25,-0.0,-48807.0
2022-08-17 13:48:00,short,13558.75,13588.75,13498.75,0.0,-48807.0
2022-08-17 15:07:00,long,13502.0,13472.0,13562.0,0.0,-48807.0
2022-08-17 15:58:00,long,13510.75,13480.75,13570.75,-0.0,-48807.0
2022-08-17 18:47:00,long,13461.5,13431.5,13521.5,-0.0,-48807.0
2022-08-17 19:22:00,long,13454.0,13424.0,13514.0,-0.0,-48807.0
2022-08-17 19:42:00,long,13448.25,13418.25,13508.25,0.0,-48807.0
2022-08-17 21:03:00,long,13469.0,13439.0,13529.0,0.0,-48807.0
2022-08-17 21:42:00,long,13474.25,13444.25,13534.25,-0.0,-48807.0
2022-08-17 22:08:00,long,13474.5,13444.5,13534.5,0.0,-48807.0
2022-08-17 23:01:00,long,13473.25,13443.25,13533.25,-0.0,-48807.0
2022-08-17 23:09:00,long,13474.25,13444.25,13534.25,-0.0,-48807.0
2022-08-18 00:11:00,long,13473.0,13443.0,13533.0,-0.0,-48807.0
2022-08-18 01:15:00,long,13459.5,13429.5,13519.5,-0.0,-48807.0
2022-08-18 02:10:00,long,13439.5,13409.5,13499.5,-0.0,-48807.0
2022-08-18 02:25:00,long,13437.0,13407.0,13497.0,0.0,-48807.0
2022-08-18 02:58:00,long,13447.75,13417.75,13507.75,-0.0,-48807.0
2022-08-18 03:37:00,long,13451.75,13421.75,13511.75,0.0,-48807.0
2022-08-18 05:17:00,short,13506.75,13536.75,13446.75,-0.0,-48807.0
2022-08-18 05:44:00,short,13507.5,13537.5,13447.5,0.0,-48807.0
2022-08-18 06:28:00,short,13502.0,13532.0,13442.0,-0.0,-48807.0
2022-08-18 07:19:00,short,13529.5,13559.5,13469.5,0.0,-48807.0
2022-08-18 08:26:00,short,13494.5,13524.5,13434.5,0.0,-48807.0
2022-08-18 09:10:00,long,13470.25,13440.25,13530.25,-0.0,-48807.0
2022-08-18 09:36:00,long,13475.75,13445.75,13535.75,0.0,-48807.0
2022-08-18 10:11:00,long,13519.25,13489.25,13579.25,0.0,-48807.0
2022-08-18 11:04:00,long,13562.25,13532.25,13622.25,-0.0,-48807.0
2022-08-18 12:01:00,long,13510.75,13480.75,13570.75,-0.0,-48807.0
2022-08-18 12:06:00,long,13514.75,13484.75,13574.75,0.0,-48807.0
2022-08-18 13:12:00,long,13543.75,13513.75,13603.75,-0.0,-48807.0
