trade_id,combo_id,entry_time,entry_date,exit_time,equity_before,equity_after,side,entry_fill_price,exit_price,sl_price,tp_price,stop_pts,tp_pts,min_rr_planned,rr_planned,z_band_k,contracts,pnl_points,r_multiple,gross_pnl_dollars,friction_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,exit_reason,label_win,label_hit_tp_first,mae_points,mfe_points,mfe_mae_ratio,hold_bars,entry_bar_idx,exit_bar_idx
183,865,2026-01-08T12:00:00,2026-01-08,2026-01-08T12:00:00,3630.2919799631345,3687.177706736853,short,25681.0,25649.55713661314,25698.017749351216,25649.55713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1687.177706736853,take_profit,True,True,-3.75,61.75,16.466666666666665,1,6922,6922
184,865,2026-01-11T21:00:00,2026-01-11,2026-01-11T21:00:00,3687.177706736853,3647.14220803442,long,25748.25,25731.232250648784,25731.232250648784,25779.69286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,1647.14220803442,stop,False,False,-38.0,5.0,0.13157894736842105,1,6953,6953
185,865,2026-01-13T14:00:00,2026-01-13,2026-01-13T14:00:00,3647.14220803442,3704.0279348081385,long,25866.0,25897.44286338686,25848.982250648784,25897.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1704.0279348081385,take_profit,True,True,-62.75,46.0,0.7330677290836654,1,6993,6993
186,865,2026-01-14T18:00:00,2026-01-14,2026-01-14T19:00:00,3704.0279348081385,3760.913661581857,short,25605.0,25573.55713661314,25622.017749351216,25573.55713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1760.913661581857,take_profit,True,True,-38.0,42.5,1.118421052631579,2,7019,7020
187,865,2026-01-15T17:00:00,2026-01-15,2026-01-15T18:00:00,3760.913661581857,3817.7993883555755,long,25720.5,25751.94286338686,25703.482250648784,25751.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1817.7993883555755,take_profit,True,True,-16.25,41.75,2.5692307692307694,2,7041,7042
188,865,2026-01-20T11:00:00,2026-01-20,2026-01-20T11:00:00,3817.7993883555755,3874.685115129294,short,25398.75,25367.30713661314,25415.767749351216,25367.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1874.685115129294,take_profit,True,True,-8.0,141.25,17.65625,1,7101,7101
189,865,2026-01-21T12:00:00,2026-01-21,2026-01-21T12:00:00,3874.685115129294,3931.5708419030125,short,25244.75,25213.30713661314,25261.767749351216,25213.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1931.5708419030125,take_profit,True,True,-50.0,94.0,1.88,1,7125,7125
190,865,2026-01-21T18:00:00,2026-01-21,2026-01-21T19:00:00,3931.5708419030125,3988.456568676731,long,25553.0,25584.44286338686,25535.982250648784,25584.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,1988.456568676731,take_profit,True,True,-14.5,48.0,3.310344827586207,2,7130,7131
191,865,2026-01-22T11:00:00,2026-01-22,2026-01-22T11:00:00,3988.456568676731,4045.3422954504495,long,25668.75,25700.19286338686,25651.732250648784,25700.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,2045.3422954504495,take_profit,True,True,-16.25,53.25,3.276923076923077,1,7147,7147
192,865,2026-01-23T14:00:00,2026-01-23,2026-01-23T14:00:00,4045.3422954504495,4005.3067967480165,long,25748.0,25730.982250648784,25730.982250648784,25779.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,2005.3067967480165,stop,False,False,-56.75,7.75,0.13656387665198239,1,7173,7173
